AÃ‘O,POSAR6,FOBDOL,PORCENTAJE_ANUAL
2015,270900,13161135178.55,36.54
2015,270112,4256202386.65,11.82
2015,090111,2526531588.12,7.01
2015,710812,956814303.38,2.66
2015,271019,878668565.76,2.44
2015,080390,756597026.14,2.1
2015,060319,607973560.91,1.69
2015,720260,429753178.94,1.19
2015,271012,402382710.39,1.12
2015,060311,315497947.34,0.88
2016,270900,8643711850.57,27.3
2016,270112,4391083676.06,13.87
2016,090111,2417692160.78,7.64
2016,710812,1420723491.95,4.49
2016,271019,1324798030.46,4.18
2016,080390,857165630.44,2.71
2016,271012,680560883.41,2.15
2016,060319,631817751.48,2.0
2016,870323,336163587.6,1.06
2016,720260,327764760.03000003,1.04
2017,270900,11207276052.82,29.48
2017,270112,6813798466.99,17.92
2017,090111,2513780348.67,6.61
2017,710812,1560474478.73,4.1
2017,271019,1181429858.52,3.11
2017,271012,873755924.12,2.3
2017,080390,857285793.5,2.25
2017,060319,692046301.68,1.82
2017,270400,573210464.31,1.51
2017,720260,360543769.69,0.95
2018,270900,13803488730.01,32.94
2018,270112,6562220114.07,15.66
2018,090111,2267510835.23,5.41
2018,271019,1801616942.42,4.3
2018,710812,1284738961.31,3.07
2018,271012,1159593084.68,2.77
2018,270400,871365330.85,2.08
2018,080390,809775586.32,1.93
2018,060319,720673323.49,1.72
2018,720260,558456768.9,1.33
2019,270900,12979699317.37,32.87
2019,270112,4874683714.59,12.34
2019,090111,2272874049.52,5.76
2019,271019,2020046839.37,5.12
2019,710812,1647862920.82,4.17
2019,271012,892193032.24,2.26
2019,080390,870674700.13,2.2
2019,270400,784331174.95,1.99
2019,060319,735023837.94,1.86
2019,720260,545023755.57,1.38
2020,270900,7130106325.35,22.96
2020,270112,3542521480.4,11.41
2020,710812,2767011952.9,8.91
2020,090111,2446598173.74,7.88
2020,271019,1271969776.57,4.1
2020,080390,913468037.81,2.94
2020,060319,730518341.95,2.35
2020,270400,623161335.31,2.01
2020,720260,435437511.94,1.4
2020,151110,329222574.51,1.06
2021,270900,11200541488.13,27.06
2021,270112,4373198569.19,10.57
2021,090111,3091838235.85,7.47
2021,710812,2997669163.51,7.24
2021,271019,1755297540.18,4.24
2021,270400,1271731425.55,3.07
2021,080390,935860226.46,2.26
2021,060319,903031834.41,2.18
2021,720260,528447599.42,1.28
2021,390410,498840053.47,1.21
2022,270900,15836623713.1,27.83
2022,270112,10490115065.93,18.43
2022,090111,3962319642.95,6.96
2022,710812,2812440632.55,4.94
2022,271019,2282824764.09,4.01
2022,270400,1784210980.04,3.14
2022,060319,1165887138.72,2.05
2022,080390,979045423.56,1.72
2022,720260,908437528.46,1.6
2022,151110,537390122.91,0.94
2023,270900,12659153725.32,25.44
2023,270112,8014982670.97,16.1
2023,710812,3221994083.18,6.47
2023,271019,2837688919.3,5.7
2023,090111,2791949515.39,5.61
2023,060319,1195050419.45,2.4
2023,270400,1115625370.15,2.24
2023,080390,810753923.08,1.63
2023,761010,647078705.79,1.3
2023,720260,637336621.65,1.28
2024,270900,12069395851.91,24.35
2024,270112,6008008713.14,12.12
2024,710812,3906666640.66,7.88
2024,090111,3393408905.83,6.85
2024,271019,2575911530.75,5.2
2024,060319,1363646195.56,2.75
2024,270400,1093560952.3,2.21
2024,080390,1084901495.67,2.19
2024,761010,587905944.32,1.19
2024,720260,542146628.58,1.09
